time,value
2026-04-20T10:00:00,0.0
2026-04-20T10:00:10,0.0837
2026-04-20T10:00:20,0.0624
2026-04-20T10:00:30,0.0
2026-04-20T10:00:40,0.0
2026-04-20T10:00:50,0.0
2026-04-20T10:01:00,0.0
2026-04-20T10:01:10,0.0
2026-04-20T10:01:20,0.0829
2026-04-20T10:01:30,0.1361
2026-04-20T10:01:40,0.047
2026-04-20T10:01:50,0.0
2026-04-20T10:02:00,0.0701
2026-04-20T10:02:10,0.0
2026-04-20T10:02:20,0.0
2026-04-20T10:02:30,0.1362
2026-04-20T10:02:40,0.1013
2026-04-20T10:02:50,0.1794
2026-04-20T10:03:00,0.0
2026-04-20T10:03:10,0.0
2026-04-20T10:03:20,0.3363
2026-04-20T10:03:30,2.9013
2026-04-20T10:03:40,2.4417
2026-04-20T10:03:50,8.0116
2026-04-20T10:04:00,12.1285
2026-04-20T10:04:10,12.5714
2026-04-20T10:04:20,14.556
2026-04-20T10:04:30,19.9504
2026-04-20T10:04:40,23.8648
2026-04-20T10:04:50,17.0525
2026-04-20T10:05:00,36.6523
2026-04-20T10:05:10,29.0104
2026-04-20T10:05:20,36.993
2026-04-20T10:05:30,30.6242
2026-04-20T10:05:40,26.6613
2026-04-20T10:05:50,48.7888
2026-04-20T10:06:00,59.5089
2026-04-20T10:06:10,41.9205
2026-04-20T10:06:20,51.2077
2026-04-20T10:06:30,41.0469
2026-04-20T10:06:40,41.1898
2026-04-20T10:06:50,57.897
2026-04-20T10:07:00,69.8187
2026-04-20T10:07:10,45.553
2026-04-20T10:07:20,70.5929
2026-04-20T10:07:30,46.7537
2026-04-20T10:07:40,42.3076
2026-04-20T10:07:50,70.0294
2026-04-20T10:08:00,53.316
2026-04-20T10:08:10,70.2852
2026-04-20T10:08:20,87.8604
2026-04-20T10:08:30,49.2771
2026-04-20T10:08:40,53.6919
2026-04-20T10:08:50,85.1146
2026-04-20T10:09:00,93.5735
2026-04-20T10:09:10,75.3783
2026-04-20T10:09:20,81.449
2026-04-20T10:09:30,120.4081
2026-04-20T10:09:40,78.5161
2026-04-20T10:09:50,95.5432
