time,value
2026-04-20T10:00:00,103.6471
2026-04-20T10:00:10,93.7539
2026-04-20T10:00:20,122.5113
2026-04-20T10:00:30,88.4349
2026-04-20T10:00:40,87.8125
2026-04-20T10:00:50,140.0461
2026-04-20T10:01:00,95.6549
2026-04-20T10:01:10,119.4621
2026-04-20T10:01:20,123.2966
2026-04-20T10:01:30,80.3662
2026-04-20T10:01:40,98.5185
2026-04-20T10:01:50,120.4266
2026-04-20T10:02:00,84.2254
2026-04-20T10:02:10,123.0153
2026-04-20T10:02:20,81.8133
2026-04-20T10:02:30,79.4112
2026-04-20T10:02:40,118.1706
2026-04-20T10:02:50,124.9961
2026-04-20T10:03:00,90.8774
2026-04-20T10:03:10,87.158
2026-04-20T10:03:20,108.6014
2026-04-20T10:03:30,86.4586
2026-04-20T10:03:40,99.4182
2026-04-20T10:03:50,90.2374
2026-04-20T10:04:00,280.5948
2026-04-20T10:04:10,248.0991
2026-04-20T10:04:20,341.9451
2026-04-20T10:04:30,412.2231
2026-04-20T10:04:40,524.7502
2026-04-20T10:04:50,784.9676
2026-04-20T10:05:00,645.0219
2026-04-20T10:05:10,958.9309
2026-04-20T10:05:20,682.6847
2026-04-20T10:05:30,1167.4959
2026-04-20T10:05:40,1124.5186
2026-04-20T10:05:50,1000.2759
2026-04-20T10:06:00,1297.0098
2026-04-20T10:06:10,1282.6866
2026-04-20T10:06:20,972.8901
2026-04-20T10:06:30,1391.6611
2026-04-20T10:06:40,1046.6177
2026-04-20T10:06:50,1326.8047
2026-04-20T10:07:00,1580.1624
2026-04-20T10:07:10,1048.697
2026-04-20T10:07:20,1982.271
2026-04-20T10:07:30,803.51
2026-04-20T10:07:40,1439.4082
2026-04-20T10:07:50,1529.0202
2026-04-20T10:08:00,1791.7047
2026-04-20T10:08:10,1591.2635
2026-04-20T10:08:20,2120.7479
2026-04-20T10:08:30,1612.8803
2026-04-20T10:08:40,2749.211
2026-04-20T10:08:50,2153.4775
2026-04-20T10:09:00,2003.228
2026-04-20T10:09:10,2275.6667
2026-04-20T10:09:20,1953.1719
2026-04-20T10:09:30,1397.9782
2026-04-20T10:09:40,1899.294
2026-04-20T10:09:50,2531.3068
